,SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_INDICADOR_REND_2019,VL_NOTA_MEDIA_2019,VL_OBSERVADO_2019,VL_PROJECAO_2021
0,PB,2507507.0,João Pessoa,25092839.0,CEEEA SESQUICENTENARIO,Estadual,0.95,5.08,4.9,5.3
1,PB,2507507.0,João Pessoa,25093843.0,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CONEGO FRANCISCO GOMES LIMA,Estadual,0.91,4.85,4.4,4.6
2,PB,2507507.0,João Pessoa,25093851.0,ECIEEFM PROFESSORA LILIOSA PAIVA LEITE,Estadual,0.91,4.29,3.9,4.1
3,PB,2507507.0,João Pessoa,25093886.0,ECI FRANCISCA ASCENSAO CUNHA,Estadual,0.92,5.60,5.2,5.4
4,PB,2507507.0,João Pessoa,25093975.0,ECI NICODEMOS NEVES,Estadual,0.74,4.31,3.2,3.4
5,PB,2507507.0,João Pessoa,25094050.0,ECI LUIZ GONZAGA DE ALBUQUERQUE BURITY,Estadual,0.81,5.02,4.0,4.3
6,PB,2507507.0,João Pessoa,25094114.0,ECIT ALICE CARNEIRO,Estadual,0.90,4.89,4.4,4.6
7,PB,2507507.0,João Pessoa,25094130.0,ECI HORACIO DE ALMEIDA,Estadual,0.70,4.45,3.1,3.3
8,PB,2507507.0,João Pessoa,25094203.0,ECI DOM JOSE MARIA PIRES,Estadual,0.69,4.41,3.1,3.3
9,PB,2507507.0,João Pessoa,25094211.0,ECI JOSE DO PATROCINIO,Estadual,0.81,5.12,4.1,4.4
10,PB,2507507.0,João Pessoa,25094661.0,EEEF PEDRO LINS VIEIRA DE MELO,Estadual,0.65,4.20,2.7,2.9
11,PB,2507507.0,João Pessoa,25094726.0,EEEFM PROF CELESTIN MALZAC,Estadual,0.75,4.71,3.6,4.1
12,PB,2507507.0,João Pessoa,25094750.0,ECI OLIVIO PINTO,Estadual,0.75,4.08,3.0,3.6
13,PB,2507507.0,João Pessoa,25094777.0,EEEFM PROFª DEBORA DUARTE,Estadual,0.73,4.26,3.1,3.3
14,PB,2507507.0,João Pessoa,25096702.0,ESCOLA CIDADA INTEGRAL ESTADUAL PROFESSORA MARIA DO CARMO DE MIRANDA,Estadual,0.84,4.83,4.0,3.5
15,PB,2507507.0,João Pessoa,25097091.0,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO AUDIOCOMUNICACAO,Estadual,0.57,3.88,2.2,3.2
16,PB,2507507.0,João Pessoa,25097725.0,INSTITUTO DE EDUCACAO DA PARAIBA - IEP,Estadual,0.83,4.37,3.6,3.9
17,PB,2507507.0,João Pessoa,25098357.0,ECI LYCEU PARAIBANO,Estadual,0.96,5.11,4.9,5.1
18,PB,2507507.0,João Pessoa,25114484.0,ECIT JOAO ROBERTO BORGES DE SOUZA,Estadual,0.77,5.55,4.3,4.5
19,PB,2507507.0,João Pessoa,25114506.0,EEEFM PROF JOSE BAPTISTA DE MELLO,Estadual,0.76,4.40,3.3,3.6
20,PB,2507507.0,João Pessoa,25124277.0,ECITE SEVERINO DIAS DE OLIVEIRA - MESTRE SIVUCA,Estadual,0.81,4.07,3.3,3.2
21,PB,2507507.0,João Pessoa,25128337.0,ECIT JOAO PEREIRA GOMES FILHO,Estadual,0.91,5.48,5.0,5.2
