,NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,2019,F,1,0,1,2,2,1.0,2507507.0,João Pessoa,PB,419.5,540.9,495.8,444.6,480.0
1,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,394.1,342.7,452.3,415.2,700.0
2,2019,F,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,557.8,608.6,633.6,633.3,760.0
3,2019,F,1,2,1,2,2,1.0,2513703.0,Santa Rita,PB,438.7,371.1,374.3,437.8,460.0
4,2019,M,1,3,1,2,2,1.0,2502508.0,Boqueirão,PB,441.3,516.3,486.7,432.8,720.0
5,2019,F,1,2,1,2,2,1.0,2507507.0,João Pessoa,PB,522.1,582.6,583.9,619.1,880.0
6,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,483.1,487.4,511.3,591.8,460.0
7,2019,M,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,419.4,525.9,558.1,405.3,580.0
8,2019,F,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,520.5,526.8,530.2,621.1,740.0
9,2019,F,1,1,1,2,2,1.0,2513703.0,Santa Rita,PB,376.3,419.9,410.4,405.9,520.0
10,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,409.6,427.4,519.2,523.1,320.0
11,2019,F,1,1,1,2,2,1.0,2513703.0,Santa Rita,PB,460.0,412.7,509.5,530.0,620.0
12,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,549.6,502.8,525.5,433.2,580.0
13,2019,M,1,1,1,2,2,1.0,2505105.0,Cuité,PB,531.3,580.2,565.4,647.2,560.0
14,2019,F,1,1,1,2,2,1.0,2504009.0,Campina Grande,PB,535.0,563.6,564.9,492.1,660.0
15,2019,M,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,463.5,452.1,449.6,489.5,640.0
16,2019,F,1,0,1,2,2,1.0,2507507.0,João Pessoa,PB,637.8,616.7,617.5,648.5,840.0
17,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,485.3,557.0,513.7,439.7,580.0
18,2019,F,1,5,1,2,2,1.0,2501401.0,Baía da Traição,PB,461.5,418.8,495.6,472.8,720.0
19,2019,M,1,1,1,2,2,1.0,2511400.0,Picuí,PB,599.1,515.0,570.7,660.5,960.0
20,2019,M,1,3,1,2,2,1.0,2500601.0,Alhandra,PB,478.4,507.7,473.2,510.6,640.0
21,2019,M,1,3,1,2,2,1.0,2516201.0,Sousa,PB,558.2,558.2,583.1,503.6,740.0
22,2019,M,0,3,1,2,2,1.0,2501104.0,Areia,PB,385.5,477.2,446.2,431.9,660.0
23,2019,F,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,449.2,464.9,496.3,430.6,700.0
24,2019,F,0,3,1,2,2,1.0,2513703.0,Santa Rita,PB,457.4,516.0,466.0,562.0,0.0
25,2019,M,1,1,1,2,2,1.0,2505105.0,Cuité,PB,523.2,577.2,567.7,649.1,600.0
26,2019,F,1,3,1,2,2,1.0,2501500.0,Bananeiras,PB,585.3,576.0,598.5,526.3,940.0
27,2019,F,1,1,1,2,2,1.0,2506400.0,Gurinhém,PB,413.0,484.3,487.4,382.2,480.0
28,2019,F,1,2,1,2,2,1.0,2513703.0,Santa Rita,PB,414.5,395.8,468.4,455.0,420.0
